1,-0.99,3
1,-0.9672413793,1
1,-0.9444827586,6
1,-0.9217241379,8
1,-0.8989655172,18
1,-0.8762068966,19
1,-0.8534482759,28
1,-0.8306896552,55
1,-0.8079310345,57
1,-0.7851724138,74
1,-0.7624137931,82
1,-0.7396551724,182
1,-0.7168965517,235
1,-0.694137931,332
1,-0.6713793103,435
1,-0.6486206897,767
1,-0.625862069,977
1,-0.6031034483,1154
1,-0.5803448276,1522
1,-0.5575862069,1691
1,-0.5348275862,2140
1,-0.5120689655,1702
1,-0.4893103448,2523
1,-0.4665517241,3696
1,-0.4437931034,4037
1,-0.4210344828,4555
1,-0.3982758621,5466
1,-0.3755172414,4868
1,-0.3527586207,4630
1,-0.33,7718
1,-0.3072413793,8538
1,-0.2844827586,8973
1,-0.2617241379,9177
1,-0.2389655172,8248
1,-0.2162068966,6440
1,-0.1934482759,5797
1,-0.1706896552,8158
1,-0.1479310345,7425
1,-0.1251724138,7581
1,-0.1024137931,7292
1,-0.0796551724,6697
1,-0.0568965517,5552
1,-0.034137931,3674
1,-0.0113793103,5266
1,0.0113793103,5602
1,0.034137931,5799
1,0.0568965517,4620
1,0.0796551724,4962
1,0.1024137931,4061
1,0.1251724138,3160
1,0.1479310345,3344
1,0.1706896552,4715
1,0.1934482759,4398
1,0.2162068966,4740
1,0.2389655172,4960
1,0.2617241379,5161
1,0.2844827586,3616
1,0.3072413793,3667
1,0.33,3805
1,0.3527586207,4778
1,0.3755172414,3527
1,0.3982758621,3889
1,0.4210344828,2803
1,0.4437931034,2584
1,0.4665517241,2994
1,0.4893103448,3472
1,0.5120689655,3197
1,0.5348275862,3195
1,0.5575862069,2668
1,0.5803448276,1534
1,0.6031034483,987
1,0.625862069,1964
1,0.6486206897,2991
1,0.6713793103,2940
1,0.694137931,3012
1,0.7168965517,2733
1,0.7396551724,1724
1,0.7624137931,3328
1,0.7851724138,1523
1,0.8079310345,1500
1,0.8306896552,1191
1,0.8534482759,1861
1,0.8762068966,2196
1,0.8989655172,1020
1,0.9217241379,528
1,0.9444827586,464
1,0.9672413793,650
1,0.99,455
